timestamp,Hsig_real,Hsig_observado_pelo_sensor,Hsig_previsto,p_good,p_suspect,p_bad,rotulo_verdadeiro,rotulo_previsto,familia_anomalia
2024-08-21 03:00:00+00:00,0.38,0.38000000000000006,0.48864064,0.12651539,0.046332043,0.82715255,GOOD,BAD,
2024-08-21 04:00:00+00:00,0.38,0.38000000000000006,0.43209606,0.53540194,0.027985409,0.43661267,GOOD,GOOD,
2024-08-21 05:00:00+00:00,0.43,0.43000000000000005,0.4085177,0.76614285,0.06834996,0.16550723,GOOD,GOOD,
2024-08-21 06:00:00+00:00,0.425,0.4250000000000001,0.43687508,0.53856075,0.25566903,0.20577021,GOOD,GOOD,
2024-08-21 07:00:00+00:00,0.515,0.515,0.45395163,0.8661447,0.0857701,0.048085194,GOOD,GOOD,
2024-08-21 08:00:00+00:00,0.535,0.535,0.5133627,0.7833092,0.073724,0.14296676,GOOD,GOOD,
2024-08-21 09:00:00+00:00,0.44999999999999996,0.45000000000000007,0.55632854,0.94892484,0.033175875,0.017899293,GOOD,GOOD,
2024-08-21 10:00:00+00:00,0.45499999999999996,0.455,0.51355666,0.5868194,0.035081923,0.37809867,GOOD,GOOD,
2024-08-21 11:00:00+00:00,0.495,0.4950000000000001,0.48640704,0.9464217,0.030391933,0.023186412,GOOD,GOOD,
2024-08-21 12:00:00+00:00,0.5,0.5000000000000001,0.5064098,0.7470989,0.03975841,0.21314266,GOOD,GOOD,
2024-08-21 13:00:00+00:00,0.415,0.4150000000000001,0.52535033,0.9112004,0.062490072,0.026309527,GOOD,GOOD,
2024-08-21 14:00:00+00:00,0.37,0.37000000000000005,0.477383,0.8575367,0.092556074,0.049907222,GOOD,GOOD,
2024-08-21 15:00:00+00:00,0.365,0.3650000000000001,0.4199171,0.64834887,0.04783882,0.30381233,GOOD,GOOD,
2024-08-21 16:00:00+00:00,0.335,0.3350000000000001,0.39458954,0.9271108,0.03877713,0.034112107,GOOD,GOOD,
2024-08-21 17:00:00+00:00,0.35,0.35000000000000003,0.37309507,0.88480276,0.03319131,0.08200594,GOOD,GOOD,
2024-08-21 18:00:00+00:00,0.36,0.36000000000000004,0.3736211,0.8516882,0.031241326,0.11707047,GOOD,GOOD,
2024-08-21 19:00:00+00:00,0.44,0.4400000000000001,0.38421366,0.9020505,0.07471807,0.02323143,GOOD,GOOD,
2024-08-21 20:00:00+00:00,0.45,0.4500000000000001,0.4389483,0.7037524,0.055975825,0.24027178,GOOD,GOOD,
2024-08-21 21:00:00+00:00,0.495,0.4950000000000001,0.47471583,0.94368696,0.036722787,0.019590253,GOOD,GOOD,
2024-08-21 22:00:00+00:00,0.37,0.37000000000000005,0.5115131,0.84353685,0.11036221,0.046100922,GOOD,GOOD,
2024-08-21 23:00:00+00:00,0.41500000000000004,0.41500000000000015,0.4477096,0.9743903,0.013823714,0.011785943,GOOD,GOOD,
2024-08-22 00:00:00+00:00,0.45,0.4500000000000001,0.432987,0.9257483,0.041673675,0.03257804,GOOD,GOOD,
2024-08-22 01:00:00+00:00,0.435,0.4350000000000001,0.46096945,0.88750225,0.021933734,0.09056401,GOOD,GOOD,
2024-08-22 02:00:00+00:00,0.41000000000000003,0.4100000000000001,0.46908566,0.9060852,0.026053179,0.06786161,GOOD,GOOD,
2024-08-22 03:00:00+00:00,0.4,0.40000000000000013,0.45161054,0.78302944,0.02844686,0.18852372,GOOD,GOOD,
2024-08-22 04:00:00+00:00,0.295,0.29500000000000004,0.4344431,0.7420763,0.19226019,0.06566353,GOOD,GOOD,
2024-08-22 05:00:00+00:00,0.345,0.34500000000000003,0.36498323,0.9346596,0.040525902,0.024814466,GOOD,GOOD,
2024-08-22 06:00:00+00:00,0.37,0.37000000000000005,0.35756797,0.95228577,0.029802594,0.01791166,GOOD,GOOD,
2024-08-22 07:00:00+00:00,0.395,0.3950000000000001,0.38373077,0.8969752,0.043595374,0.059429392,GOOD,GOOD,
2024-08-22 08:00:00+00:00,0.48,0.48000000000000004,0.41437224,0.86652195,0.10270576,0.030772315,GOOD,GOOD,
2024-08-22 09:00:00+00:00,0.455,0.45500000000000007,0.47903204,0.96386385,0.018702071,0.017434109,GOOD,GOOD,
2024-08-22 10:00:00+00:00,0.405,0.4050000000000001,0.49394557,0.9517507,0.02825045,0.019998841,GOOD,GOOD,
2024-08-22 11:00:00+00:00,0.33499999999999996,0.335,0.45803714,0.8864974,0.080302864,0.03319973,GOOD,GOOD,
2024-08-22 12:00:00+00:00,0.43000000000000005,0.4300000000000001,0.39373285,0.88756895,0.07837319,0.034057867,GOOD,GOOD,
2024-08-22 13:00:00+00:00,0.41500000000000004,0.41500000000000015,0.42280525,0.97092396,0.015896555,0.013179494,GOOD,GOOD,
2024-08-22 14:00:00+00:00,0.405,0.4050000000000001,0.44394556,0.87107927,0.01933644,0.109584294,GOOD,GOOD,
2024-08-22 15:00:00+00:00,0.375,0.3750000000000001,0.4416171,0.966628,0.016504299,0.016867664,GOOD,GOOD,
2024-08-22 16:00:00+00:00,0.38,0.38000000000000006,0.41792277,0.9612481,0.013663232,0.025088672,GOOD,GOOD,
2024-08-22 17:00:00+00:00,0.32499999999999996,0.325,0.40836772,0.912707,0.05785867,0.02943436,GOOD,GOOD,
2024-08-22 18:00:00+00:00,0.345,0.34500000000000003,0.37466496,0.9672011,0.018135285,0.014663626,GOOD,GOOD,
2024-08-22 19:00:00+00:00,0.355,0.35500000000000004,0.36842847,0.9133818,0.025765538,0.060852624,GOOD,GOOD,
2024-08-22 20:00:00+00:00,0.43,0.43000000000000005,0.37822703,0.90175956,0.07343972,0.024800716,GOOD,GOOD,
2024-08-22 21:00:00+00:00,0.42000000000000004,0.4200000000000001,0.43058625,0.969163,0.015495961,0.015341051,GOOD,GOOD,
2024-08-22 22:00:00+00:00,0.385,0.38500000000000006,0.45252043,0.9676447,0.016378487,0.015976844,GOOD,GOOD,
2024-08-22 23:00:00+00:00,0.36,0.36000000000000004,0.4320559,0.9206897,0.03471338,0.044596903,GOOD,GOOD,
2024-08-23 00:00:00+00:00,0.41000000000000003,0.4100000000000001,0.40172255,0.95302725,0.030669775,0.016302979,GOOD,GOOD,
2024-08-23 01:00:00+00:00,0.4,0.40000000000000013,0.41984296,0.9783226,0.011346495,0.010330864,GOOD,GOOD,
2024-08-23 02:00:00+00:00,0.41000000000000003,0.4100000000000001,0.4305022,0.93951744,0.01738615,0.043096386,GOOD,GOOD,
2024-08-23 03:00:00+00:00,0.365,0.3650000000000001,0.43793207,0.9552586,0.02531403,0.01942734,GOOD,GOOD,
2024-08-23 04:00:00+00:00,0.405,0.4050000000000001,0.41262132,0.96554047,0.02057434,0.013885194,GOOD,GOOD,
2024-08-23 05:00:00+00:00,0.33,0.3300000000000001,0.4211549,0.8570415,0.095240586,0.047717948,GOOD,GOOD,
2024-08-23 06:00:00+00:00,0.39,0.3900000000000001,0.38615072,0.93573487,0.0422315,0.0220336,GOOD,GOOD,
2024-08-23 07:00:00+00:00,0.385,0.38500000000000006,0.39961308,0.97118264,0.014060988,0.014756382,GOOD,GOOD,
2024-08-23 08:00:00+00:00,0.425,0.4250000000000001,0.41262305,0.9615832,0.024813965,0.013602816,GOOD,GOOD,
2024-08-23 09:00:00+00:00,0.385,0.38500000000000006,0.44087183,0.97316635,0.014639123,0.01219455,GOOD,GOOD,
2024-08-23 10:00:00+00:00,0.365,0.3650000000000001,0.42988178,0.94118583,0.021583285,0.037230887,GOOD,GOOD,
2024-08-23 11:00:00+00:00,0.33,0.3300000000000001,0.40552792,0.9550464,0.02726458,0.017689016,GOOD,GOOD,
2024-08-23 12:00:00+00:00,0.30000000000000004,0.3000000000000001,0.37339857,0.92348343,0.04123164,0.03528494,GOOD,GOOD,
2024-08-23 13:00:00+00:00,0.395,0.3950000000000001,0.34170425,0.86646485,0.09926589,0.034269255,GOOD,GOOD,
2024-08-23 14:00:00+00:00,0.405,0.4050000000000001,0.3867699,0.9571366,0.026287166,0.016576257,GOOD,GOOD,
2024-08-23 15:00:00+00:00,0.35,0.35000000000000003,0.42643288,0.9527173,0.02783132,0.019451387,GOOD,GOOD,
2024-08-23 16:00:00+00:00,0.4,0.40000000000000013,0.40453738,0.9619464,0.0232975,0.0147560565,GOOD,GOOD,
2024-08-23 17:00:00+00:00,0.335,0.3350000000000001,0.41475004,0.923525,0.048812743,0.027662307,GOOD,GOOD,
2024-08-23 18:00:00+00:00,0.385,0.38500000000000006,0.38706183,0.9650064,0.02257919,0.012414427,GOOD,GOOD,
2024-08-23 19:00:00+00:00,0.4,0.40000000000000013,0.39842978,0.95217335,0.022308633,0.025518045,GOOD,GOOD,
2024-08-23 20:00:00+00:00,0.39,0.3900000000000001,0.42091236,0.9341888,0.01596241,0.049848814,GOOD,GOOD,
2024-08-23 21:00:00+00:00,0.405,0.4050000000000001,0.42446378,0.9614222,0.015352507,0.023225306,GOOD,GOOD,
2024-08-23 22:00:00+00:00,0.32499999999999996,0.325,0.43100694,0.8345975,0.11029806,0.05510441,GOOD,GOOD,
2024-08-23 23:00:00+00:00,0.31,0.31000000000000005,0.38576683,0.93557334,0.035800345,0.028626323,GOOD,GOOD,
2024-08-24 00:00:00+00:00,0.29500000000000004,0.2950000000000001,0.34911242,0.8615706,0.05060017,0.08782922,GOOD,GOOD,
2024-08-24 01:00:00+00:00,0.275,0.47109267723471693,0.32867396,0.424407,0.4176795,0.15791352,BAD,GOOD,F_burst_noise
2024-08-24 02:00:00+00:00,0.315,0.04136517093898795,0.43111792,0.14408743,0.18333124,0.6725813,BAD,SUSPECT,F_burst_noise
2024-08-24 03:00:00+00:00,0.28,0.3336602323833726,0.24163987,0.4815262,0.28648812,0.23198569,BAD,GOOD,F_burst_noise
2024-08-24 04:00:00+00:00,0.29000000000000004,0.02,0.26946777,0.25569195,0.2298011,0.51450694,BAD,GOOD,F_burst_noise
2024-08-24 05:00:00+00:00,0.33999999999999997,0.16257711983967735,0.15797248,0.58812916,0.23164001,0.18023083,BAD,GOOD,F_burst_noise
2024-08-24 06:00:00+00:00,0.24,0.6886507061298501,0.15127508,0.10746884,0.34661183,0.54591936,BAD,SUSPECT,F_burst_noise
2024-08-24 07:00:00+00:00,0.31,0.31000000000000005,0.50097686,0.44305587,0.20965607,0.34728804,GOOD,GOOD,
2024-08-24 08:00:00+00:00,0.355,0.35500000000000004,0.4707735,0.88709474,0.06609426,0.046810992,GOOD,GOOD,
2024-08-24 09:00:00+00:00,0.33499999999999996,0.335,0.40290126,0.9676974,0.0142965065,0.018006127,GOOD,GOOD,
2024-08-24 10:00:00+00:00,0.28,0.28000000000000014,0.3673283,0.9468523,0.036251277,0.016896404,GOOD,GOOD,
2024-08-24 11:00:00+00:00,0.275,0.2750000000000001,0.32811707,0.8684757,0.044897743,0.08662655,GOOD,GOOD,
